enrollment_id,student_id,academic_year,year_of_study,faculty,module_code,module_session_type,early_wave_attendance_pct,early_wave_lms_logins,early_wave_submission_rate,mid_wave_attendance_pct,mid_wave_lms_logins,mid_wave_submission_rate,mid_wave_formative_avg,engagement_consistency_score,prerequisite_grade,final_mark,module_outcome,module_failure_label
4e9c84b3,SYN100000,2021,1,Science,SCI101,semester1,83.0,7,0.96,87.4,8,0.96,82.5,1.0,,100.0,Pass,0
11e5b0a1,SYN100000,2021,1,Science,SCI102,semester2,72.0,8,0.81,64.5,5,0.7,83.3,0.85,,99.2,Pass,0
7574e16c,SYN100000,2021,1,Science,SCI103,semester1,77.4,3,0.84,76.4,5,0.81,83.0,0.96,,100.0,Pass,0
8f2c6ad2,SYN100000,2021,1,Science,SCI104,semester1,95.3,14,0.87,90.7,16,0.85,69.7,0.96,,93.0,Pass,0
825d6f4e,SYN100000,2021,1,Science,SCI105,semester2,96.5,10,0.66,100.0,10,0.66,95.0,1.0,,90.7,Pass,0
2174d805,SYN100000,2022,2,Science,SCI201,semester2,71.7,3,0.53,67.3,3,0.46,73.3,0.91,,100.0,Pass,0
9323901d,SYN100000,2022,2,Science,SCI202,semester2,71.5,5,0.61,60.5,3,0.56,64.9,0.93,68.4,16.6,Fail,1
bc32557b,SYN100000,2022,2,Science,SCI203,semester2,87.9,1,0.72,90.2,0,0.69,84.0,0.96,,100.0,Pass,0
398b098c,SYN100000,2022,2,Science,SCI204,semester1,74.8,6,0.52,73.8,5,0.49,81.2,0.96,64.7,96.4,Pass,0
4fdf6d6d,SYN100000,2022,2,Science,SCI205,semester2,88.5,4,0.74,74.9,3,0.69,74.9,0.92,87.0,88.3,Pass,0
b58361f8,SYN100000,2023,3,Science,SCI301,semester1,60.2,4,0.61,52.5,2,0.61,85.3,1.0,77.0,78.0,Pass,0
de603264,SYN100000,2023,3,Science,SCI302,year,84.4,3,0.78,88.7,2,0.77,58.0,0.98,78.7,85.6,Pass,0
82c687ab,SYN100000,2023,3,Science,SCI303,semester1,82.8,4,0.34,86.3,2,0.34,84.0,1.0,85.1,100.0,Pass,0
02fbe5e0,SYN100000,2023,3,Science,SCI304,semester1,83.6,6,0.76,65.9,3,0.67,74.1,0.87,75.4,17.2,Fail,1
a1383baa,SYN100001,2023,1,Law,LAW101,semester1,35.5,3,0.31,13.9,0,0.21,64.3,0.85,,69.8,Pass,0
84ef8165,SYN100001,2023,1,Law,LAW102,semester2,73.0,6,0.85,63.2,8,0.75,60.2,0.86,,41.5,Fail,1
0875fbbd,SYN100001,2023,1,Law,LAW103,semester1,52.7,4,0.39,44.4,5,0.34,65.9,0.94,,54.9,Pass,0
d00dc67b,SYN100001,2023,1,Law,LAW104,year,48.6,5,0.4,23.7,5,0.25,42.5,0.78,,15.5,Fail,1
7c381be2,SYN100001,2023,1,Law,LAW105,semester2,82.8,6,0.56,84.6,5,0.52,49.0,0.94,,16.1,Fail,1
d9d1dabc,SYN100001,2024,2,Law,LAW201,semester2,50.7,5,0.44,28.1,8,0.33,48.6,0.85,63.2,23.0,Fail,1
