student_id,academic_year,year_of_study,gpa_year,credits_attempted,credits_earned,credit_pace_ratio,nsfas_funded_this_year,funding_disruption_flag,residence_status,academic_standing,year_outcome,year_failure_label,dropout_label,delayed_graduation_label
SYN100000,2021,1,77.5,60,56,0.93,0,0,off_campus,good,progressed,0,0,0
SYN100000,2022,2,74.0,60,44,0.83,0,0,home,good,progressed,0,0,0
SYN100000,2023,3,53.7,48,35,0.8,0,0,home,good,graduated,0,0,0
SYN100001,2023,1,39.5,60,22,0.37,1,0,off_campus,probation,repeated,1,0,0
SYN100001,2024,2,43.5,60,22,0.37,1,0,off_campus,probation,dropped_out,1,1,0
SYN100002,2023,1,69.2,60,59,0.98,0,0,off_campus,good,progressed,0,0,0
SYN100002,2024,2,67.9,60,45,0.87,0,0,off_campus,probation,dropped_out,1,1,0
SYN100003,2023,1,40.0,60,11,0.18,1,1,on_campus,probation,dropped_out,1,1,0
SYN100004,2022,1,74.3,60,59,0.98,0,0,off_campus,good,progressed,0,0,0
SYN100004,2023,2,82.2,60,54,0.94,0,0,off_campus,good,progressed,0,0,0
SYN100004,2024,3,75.7,48,44,0.93,0,0,off_campus,good,progressed,0,0,0
SYN100004,2025,4,51.2,36,23,0.88,0,0,off_campus,good,graduated,0,0,1
SYN100005,2023,1,69.7,60,48,0.8,0,0,off_campus,good,progressed,0,0,0
SYN100005,2024,2,45.6,60,24,0.6,0,0,off_campus,probation,dropped_out,1,1,0
SYN100006,2023,1,46.7,60,22,0.37,0,0,home,probation,dropped_out,1,1,0
SYN100007,2022,1,55.0,60,44,0.73,0,0,off_campus,good,progressed,0,0,0
SYN100007,2023,2,75.6,60,48,0.77,0,0,off_campus,good,progressed,0,0,0
SYN100007,2024,3,36.8,48,23,0.68,0,0,off_campus,good,dropped_out,0,1,0
SYN100008,2022,1,60.8,60,34,0.57,0,0,home,good,progressed,0,0,0
SYN100008,2023,2,30.0,60,0,0.28,0,0,home,probation,repeated,1,0,0
SYN100008,2024,3,58.5,48,24,0.35,0,0,home,good,progressed,0,0,0
SYN100008,2025,4,49.9,36,23,0.4,0,0,home,good,progressed,0,0,0
SYN100008,2026,5,69.9,36,23,0.43,0,0,home,good,progressed,0,0,0
SYN100008,2027,6,39.7,36,11,0.42,0,0,home,exclusion,dropped_out,1,1,0
SYN100009,2022,1,76.6,60,57,0.95,0,0,on_campus,good,progressed,0,0,0
SYN100009,2023,2,64.2,60,46,0.86,0,0,on_campus,probation,repeated,1,0,0
SYN100009,2024,3,50.5,48,23,0.75,0,0,on_campus,good,progressed,0,0,0
SYN100009,2025,4,75.9,36,34,0.78,0,0,on_campus,good,progressed,0,0,0
SYN100009,2026,5,54.4,36,23,0.76,0,0,on_campus,good,progressed,0,0,0
SYN100010,2022,1,39.2,60,0,0.0,0,0,off_campus,probation,dropped_out,1,1,0
SYN100011,2022,1,72.4,60,56,0.93,0,0,on_campus,good,progressed,0,0,0
SYN100011,2023,2,73.5,60,59,0.96,0,0,on_campus,good,progressed,0,0,0
SYN100011,2024,3,77.6,48,45,0.95,0,0,on_campus,good,progressed,0,0,0
SYN100011,2025,4,63.3,36,24,0.9,0,0,on_campus,probation,dropped_out,1,1,0
SYN100012,2023,1,71.1,60,57,0.95,0,0,off_campus,good,progressed,0,0,0
SYN100012,2024,2,67.5,60,44,0.84,0,0,off_campus,good,progressed,0,0,0
SYN100012,2025,3,70.3,48,44,0.86,0,0,off_campus,good,progressed,0,0,0
SYN100012,2026,4,67.6,36,34,0.88,0,0,off_campus,good,graduated,0,0,0
SYN100013,2023,1,59.4,60,33,0.55,0,0,on_campus,good,progressed,0,0,0
SYN100013,2024,2,50.1,60,22,0.46,0,0,on_campus,probation,dropped_out,1,1,0
SYN100014,2021,1,65.0,60,44,0.73,0,0,on_campus,good,progressed,0,0,0
SYN100014,2022,2,33.2,60,11,0.46,0,0,on_campus,probation,repeated,1,0,0
SYN100014,2023,3,51.5,48,22,0.46,0,0,on_campus,good,progressed,0,0,0
SYN100014,2024,4,72.1,36,34,0.54,0,0,on_campus,good,progressed,0,0,0
SYN100014,2025,5,76.1,36,35,0.61,0,0,on_campus,good,progressed,0,0,0
SYN100014,2026,6,58.9,36,22,0.61,0,0,on_campus,good,progressed,0,0,0
