student_id,cohort_year,faculty,department,academic_career,programme,saqa_id,nqf_level,min_credits,min_years_to_complete,qualification_source,school_quintile,first_gen_flag,home_language_eal_flag,geographic_origin,nbt_academic_literacy,nbt_quantitative_literacy,nbt_mathematics,nsc_mathematics_pct,nsc_physical_science_pct,nsc_english_pct,matric_aggregate_pct,aps_score,nsfas_eligible_initial
SYN100000,2021,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,5,0,1,urban,72.5,62.3,62.3,53.4,79.1,74.7,69.4,33,0
SYN100001,2023,Law,Department of Private Law,Undergraduate,Bachelor of Laws,110204,8,480,4,SAQA-verified,4,1,0,urban,64.3,51.3,74.6,60.0,53.6,58.5,60.0,26,1
SYN100002,2023,Engineering,"Department of Electrical, Electronic and Computer Engineering",Undergraduate,BEng Electrical,,8,480,4,HEQSF-standard,5,0,0,urban,84.5,65.1,50.0,53.8,75.4,74.3,70.6,28,0
SYN100003,2023,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,3,0,1,urban,62.8,59.0,59.5,34.7,50.9,54.4,43.4,17,1
SYN100004,2022,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,4,0,0,urban,75.0,72.0,51.1,55.1,74.2,60.4,56.9,20,1
SYN100005,2023,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,3,0,0,urban,69.5,50.7,56.9,47.4,50.2,55.4,45.0,20,1
SYN100006,2023,Commerce,School of Management,Undergraduate,Higher Certificate in Management Development,96676,5,120,1,SAQA-verified,4,0,0,urban,65.5,37.2,34.6,41.3,44.5,67.5,46.6,18,0
SYN100007,2022,Health Sciences,School of Health and Rehabilitation Sciences,Undergraduate,BSc Physiotherapy,,8,480,4,HEQSF-standard,5,0,0,rural,66.9,78.5,36.7,74.0,68.8,58.3,59.8,25,0
SYN100008,2022,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,4,0,1,urban,69.1,79.9,68.8,68.2,83.9,48.4,63.7,24,0
SYN100009,2022,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,4,1,0,urban,70.3,72.6,86.3,100.0,67.1,50.8,62.0,27,0
SYN100010,2022,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,1,0,0,rural,40.6,19.9,30.1,48.1,75.3,56.2,64.8,26,1
SYN100011,2022,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,4,0,0,urban,55.7,73.9,62.1,60.0,59.8,54.8,60.5,24,0
SYN100012,2023,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,5,0,0,urban,86.7,69.8,56.4,84.7,71.9,83.8,81.0,30,0
SYN100013,2023,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,5,1,1,urban,57.7,54.2,72.2,60.7,64.9,63.4,64.7,31,0
SYN100014,2021,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,4,0,0,urban,62.5,73.7,36.4,63.0,52.8,58.8,63.2,28,0
SYN100015,2023,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,5,1,0,urban,58.0,68.0,66.0,100.0,95.0,55.2,82.0,30,0
SYN100016,2023,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,5,0,0,urban,58.3,59.3,49.4,65.5,36.9,47.8,60.7,22,0
SYN100017,2021,Health Sciences,School of Health and Rehabilitation Sciences,Undergraduate,BSc Physiotherapy,,8,480,4,HEQSF-standard,2,1,1,rural,78.2,35.3,40.0,65.9,58.5,52.8,58.4,20,1
SYN100018,2023,Commerce,School of Management,Undergraduate,Higher Certificate in Management Development,96676,5,120,1,SAQA-verified,1,1,1,rural,57.2,44.0,37.4,37.5,52.1,53.4,58.1,29,1
SYN100019,2021,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,3,0,1,urban,65.2,61.7,23.8,72.8,63.3,46.7,58.6,25,0
SYN100020,2022,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,4,0,0,urban,63.7,63.3,60.7,56.5,32.4,66.6,60.5,21,0
SYN100021,2023,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,3,0,1,urban,69.0,79.3,67.7,65.0,83.9,65.3,75.5,31,0
SYN100022,2021,Engineering,"Department of Electrical, Electronic and Computer Engineering",Undergraduate,BEng Electrical,,8,480,4,HEQSF-standard,2,0,0,rural,71.6,59.7,71.0,65.2,26.3,56.5,43.5,17,1
SYN100023,2021,Health Sciences,School of Health and Rehabilitation Sciences,Undergraduate,BSc Physiotherapy,,8,480,4,HEQSF-standard,5,0,0,urban,62.9,71.1,79.9,76.7,28.3,69.1,58.4,26,0
SYN100024,2021,Education,Department of Curriculum Studies,Undergraduate,BEd Foundation Phase,,7,480,4,HEQSF-standard,2,1,1,urban,67.7,41.2,55.9,70.6,55.2,60.1,63.3,24,1
SYN100025,2022,Commerce,School of Management,Undergraduate,Higher Certificate in Management Development,96676,5,120,1,SAQA-verified,2,0,1,rural,75.3,38.7,31.4,56.7,65.0,57.4,66.4,30,0
SYN100026,2022,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,4,1,0,urban,67.8,79.2,32.3,42.5,34.9,53.2,45.7,21,0
SYN100027,2021,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,5,0,0,urban,79.4,68.6,74.0,70.7,73.5,56.9,66.1,28,0
SYN100028,2021,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,1,1,1,urban,37.4,22.5,5.0,38.1,59.0,51.2,50.4,24,1
SYN100029,2023,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,2,1,1,urban,58.6,37.4,34.8,29.8,37.3,53.0,44.1,24,1
SYN100030,2022,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,1,0,1,rural,45.7,35.8,21.4,38.5,53.8,52.3,49.9,22,0
SYN100031,2021,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,4,0,0,urban,71.1,59.0,61.5,93.7,93.7,63.5,84.5,39,0
SYN100032,2023,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,3,0,1,urban,48.6,48.6,45.6,89.0,73.7,48.5,72.1,29,0
SYN100033,2022,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,3,0,0,urban,62.1,91.4,53.3,80.9,57.5,67.0,68.2,28,0
SYN100034,2021,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,4,1,1,urban,70.9,56.8,63.1,57.6,75.5,40.7,56.2,18,0
SYN100035,2021,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,2,1,1,rural,51.0,83.0,50.2,44.5,58.9,38.6,45.9,20,1
SYN100036,2023,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,2,1,0,urban,45.9,36.7,63.7,50.4,74.0,52.0,66.1,28,1
SYN100037,2021,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,2,1,0,rural,38.7,58.1,35.6,71.9,20.0,47.9,38.1,15,1
SYN100038,2022,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,5,1,0,urban,79.0,72.1,70.9,71.7,97.6,64.4,76.4,30,0
SYN100039,2022,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,4,0,1,urban,70.5,61.6,44.8,76.9,72.3,60.8,66.7,30,0
SYN100040,2021,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,3,0,0,urban,78.0,72.5,46.2,63.8,20.0,46.1,41.8,15,1
SYN100041,2022,Engineering,"Department of Electrical, Electronic and Computer Engineering",Undergraduate,BEng Electrical,,8,480,4,HEQSF-standard,3,0,0,urban,47.3,58.5,77.3,31.6,35.5,54.9,38.1,18,1
SYN100042,2021,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,5,1,0,urban,77.5,77.4,69.3,40.0,73.6,53.0,56.7,20,0
SYN100043,2023,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,5,0,1,urban,88.4,60.5,63.1,71.3,55.1,71.1,63.1,25,0
SYN100044,2021,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,3,0,1,urban,58.3,51.0,47.2,40.2,65.3,66.3,49.8,23,0
SYN100045,2021,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,3,1,0,urban,46.8,30.8,52.5,51.8,85.6,57.9,73.4,28,1
SYN100046,2022,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,4,0,0,urban,66.3,48.2,51.2,61.2,33.2,43.3,48.3,19,0
SYN100047,2021,Humanities,Department of Language Studies,Undergraduate,BA Languages,,7,360,3,HEQSF-standard,4,0,0,urban,70.7,94.2,62.6,68.7,57.8,72.5,69.5,33,0
SYN100048,2021,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,5,1,0,rural,65.5,60.8,67.3,63.1,80.2,38.4,56.4,21,0
SYN100049,2023,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,4,0,0,rural,54.1,60.1,72.0,46.9,45.9,69.4,53.0,24,1
SYN100050,2021,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,1,1,1,rural,61.2,38.4,22.1,47.5,65.0,27.2,39.1,15,1
SYN100051,2021,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,5,1,0,urban,71.7,74.4,59.8,71.5,67.5,74.7,75.3,27,0
SYN100052,2022,Humanities,Department of Language Studies,Undergraduate,BA Languages,,7,360,3,HEQSF-standard,4,0,1,urban,88.1,68.1,50.7,48.2,60.7,59.1,50.9,28,0
SYN100053,2021,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,5,0,0,urban,86.0,75.6,73.7,77.2,70.5,44.0,64.3,25,0
SYN100054,2023,Engineering,"Department of Electrical, Electronic and Computer Engineering",Undergraduate,BEng Electrical,,8,480,4,HEQSF-standard,3,0,0,rural,64.4,39.7,56.0,59.0,35.2,59.4,50.8,27,1
SYN100055,2023,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,5,0,0,urban,69.2,56.3,43.8,75.2,71.3,44.0,62.9,29,0
SYN100056,2023,Law,Department of Private Law,Undergraduate,Bachelor of Laws,110204,8,480,4,SAQA-verified,4,0,0,urban,81.9,76.2,54.3,42.6,55.4,65.3,53.4,21,0
SYN100057,2023,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,1,0,1,urban,56.3,27.3,30.2,72.0,28.4,29.2,33.9,15,1
SYN100058,2022,Engineering,"Department of Electrical, Electronic and Computer Engineering",Undergraduate,BEng Electrical,,8,480,4,HEQSF-standard,5,0,0,rural,66.4,56.2,49.2,61.8,87.8,87.4,77.3,38,0
SYN100059,2022,Engineering,"Department of Electrical, Electronic and Computer Engineering",Undergraduate,BEng Electrical,,8,480,4,HEQSF-standard,5,0,0,urban,81.2,56.8,77.1,61.2,57.2,76.3,65.0,28,0
SYN100060,2021,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,3,0,1,rural,61.3,56.2,39.6,71.3,34.5,55.1,50.7,21,1
SYN100061,2021,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,5,0,0,rural,70.9,63.6,61.0,66.6,68.6,76.8,65.1,24,1
SYN100062,2022,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,4,1,0,urban,59.8,55.1,56.9,57.5,77.3,54.6,58.8,26,0
SYN100063,2021,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,5,0,0,urban,95.7,63.5,43.4,68.1,47.8,56.4,59.4,27,0
SYN100064,2023,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,5,0,0,urban,48.4,62.2,49.6,68.9,55.9,63.4,72.1,30,0
SYN100065,2023,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,2,1,0,rural,77.3,53.5,52.5,35.1,50.1,68.6,55.6,24,1
SYN100066,2023,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,3,0,1,urban,66.6,10.0,24.1,65.2,63.6,46.1,54.7,27,0
SYN100067,2022,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,5,0,0,urban,59.0,65.2,62.1,45.2,60.9,56.5,58.8,25,0
SYN100068,2023,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,5,0,0,urban,66.1,46.9,69.3,74.4,40.5,68.2,64.7,28,1
SYN100069,2022,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,5,0,0,urban,65.2,78.9,84.8,95.7,86.0,64.1,83.7,37,0
SYN100070,2023,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,4,0,0,urban,66.5,65.6,66.4,56.5,72.6,67.2,59.3,29,0
SYN100071,2023,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,3,0,1,urban,58.0,63.7,55.1,63.1,62.6,67.4,53.8,22,0
SYN100072,2023,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,3,0,1,urban,67.8,47.6,50.0,73.8,47.1,69.7,66.9,25,1
SYN100073,2021,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,4,0,0,urban,73.0,47.5,62.9,42.6,57.2,64.0,66.9,24,1
SYN100074,2022,Science,Department of Computer Science and Informatics,Undergraduate,BSc Computer Science,,7,360,3,HEQSF-standard,3,0,1,urban,56.5,70.9,40.3,57.0,38.8,65.5,61.0,25,0
SYN100075,2022,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,3,0,1,urban,77.8,94.3,41.2,81.0,59.9,58.2,68.5,29,0
SYN100076,2021,Commerce,Department of Business Management,Undergraduate,Bachelor of Commerce,8543,7,536,5,SAQA-verified,5,1,0,urban,71.1,77.8,65.3,56.5,84.6,84.4,77.6,36,0
SYN100077,2022,Humanities,Department of Sociology,Undergraduate,BA Social Sciences,,7,360,3,HEQSF-standard,3,1,0,urban,70.4,36.0,38.1,78.9,69.4,77.8,74.0,28,0
SYN100078,2021,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,1,1,1,rural,58.4,43.3,26.2,45.2,44.1,51.4,55.7,23,1
SYN100079,2021,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,5,0,0,rural,69.0,84.7,63.5,67.6,63.6,65.4,74.1,24,0
SYN100080,2022,Health Sciences,School of Health and Rehabilitation Sciences,Undergraduate,BSc Physiotherapy,,8,480,4,HEQSF-standard,2,1,1,rural,69.9,51.7,58.1,57.9,42.5,65.7,55.9,23,0
SYN100081,2021,Health Sciences,School of Nursing,Undergraduate,BSc Nursing,,8,480,4,HEQSF-standard,2,1,1,rural,39.4,35.4,30.8,92.8,80.3,52.4,73.4,27,1
SYN100082,2022,Science,Department of Physics,Undergraduate,BSc Physics,,7,360,3,HEQSF-standard,5,0,0,urban,75.4,72.5,42.8,80.7,52.2,73.0,68.6,25,0
SYN100083,2021,Engineering,Department of Civil Engineering,Undergraduate,BEng Civil,,8,480,4,HEQSF-standard,2,0,1,rural,54.4,59.7,72.7,84.9,31.9,46.2,61.7,23,1
SYN100084,2021,Commerce,School of Management,Undergraduate,Higher Certificate in Management Development,96676,5,120,1,SAQA-verified,2,0,1,rural,46.9,81.1,48.2,67.7,43.7,55.1,51.9,15,1
