student_id,academic_year,module_code,module_session_type,week_num,session_fraction_elapsed,lms_logins,attendance_flag,cumulative_submission_rate
SYN100001,2023,LAW101,semester1,1,0.08,3,0,0.33
SYN100001,2023,LAW101,semester1,2,0.15,2,0,0.3
SYN100001,2023,LAW101,semester1,3,0.23,0,0,0.31
SYN100001,2023,LAW101,semester1,4,0.31,2,0,0.22
SYN100001,2023,LAW101,semester1,5,0.38,0,0,0.28
SYN100001,2023,LAW101,semester1,6,0.46,0,0,0.3
SYN100001,2023,LAW101,semester1,7,0.54,2,0,0.21
SYN100001,2023,LAW101,semester1,8,0.62,1,0,0.25
SYN100001,2023,LAW101,semester1,9,0.69,0,0,0.24
SYN100001,2023,LAW101,semester1,10,0.77,1,0,0.2
SYN100001,2023,LAW101,semester1,11,0.85,0,0,0.28
SYN100001,2023,LAW101,semester1,12,0.92,1,0,0.23
SYN100001,2023,LAW101,semester1,13,1.0,0,0,0.26
SYN100001,2023,LAW102,semester2,1,0.08,5,1,0.79
SYN100001,2023,LAW102,semester2,2,0.15,5,1,0.81
SYN100001,2023,LAW102,semester2,3,0.23,4,1,0.7
SYN100001,2023,LAW102,semester2,4,0.31,9,0,0.82
SYN100001,2023,LAW102,semester2,5,0.38,7,1,0.78
SYN100001,2023,LAW102,semester2,6,0.46,8,0,0.81
SYN100001,2023,LAW102,semester2,7,0.54,5,1,0.76
SYN100001,2023,LAW102,semester2,8,0.62,6,1,0.9
SYN100001,2023,LAW102,semester2,9,0.69,6,1,0.79
SYN100001,2023,LAW102,semester2,10,0.77,10,1,0.67
SYN100001,2023,LAW102,semester2,11,0.85,10,1,0.77
SYN100001,2023,LAW102,semester2,12,0.92,6,1,0.83
SYN100001,2023,LAW102,semester2,13,1.0,7,0,0.72
SYN100001,2023,LAW103,semester1,1,0.08,3,1,0.45
SYN100001,2023,LAW103,semester1,2,0.15,3,1,0.33
SYN100001,2023,LAW103,semester1,3,0.23,5,0,0.41
SYN100001,2023,LAW103,semester1,4,0.31,5,1,0.4
SYN100001,2023,LAW103,semester1,5,0.38,4,0,0.36
SYN100001,2023,LAW103,semester1,6,0.46,6,0,0.3
SYN100001,2023,LAW103,semester1,7,0.54,3,0,0.37
SYN100001,2023,LAW103,semester1,8,0.62,4,0,0.34
SYN100001,2023,LAW103,semester1,9,0.69,5,1,0.42
SYN100001,2023,LAW103,semester1,10,0.77,4,1,0.37
SYN100001,2023,LAW103,semester1,11,0.85,3,0,0.34
SYN100001,2023,LAW103,semester1,12,0.92,5,0,0.31
SYN100001,2023,LAW103,semester1,13,1.0,3,1,0.35
SYN100001,2023,LAW104,year,1,0.04,4,1,0.35
SYN100001,2023,LAW104,year,2,0.08,6,1,0.46
SYN100001,2023,LAW104,year,3,0.12,6,1,0.42
SYN100001,2023,LAW104,year,4,0.15,5,0,0.43
SYN100001,2023,LAW104,year,5,0.19,4,0,0.44
SYN100001,2023,LAW104,year,6,0.23,7,1,0.36
SYN100001,2023,LAW104,year,7,0.27,5,0,0.28
SYN100001,2023,LAW104,year,8,0.31,5,0,0.38
SYN100001,2023,LAW104,year,9,0.35,3,1,0.23
SYN100001,2023,LAW104,year,10,0.38,3,1,0.32
SYN100001,2023,LAW104,year,11,0.42,5,0,0.42
SYN100001,2023,LAW104,year,12,0.46,5,0,0.35
SYN100001,2023,LAW104,year,13,0.5,6,0,0.35
SYN100001,2023,LAW104,year,14,0.54,6,0,0.36
SYN100001,2023,LAW104,year,15,0.58,7,0,0.3
SYN100001,2023,LAW104,year,16,0.62,3,0,0.26
SYN100001,2023,LAW104,year,17,0.65,5,0,0.42
